epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,5370.06,1.41065,1.68291,1.49122,0.37762,0.29119,0.24822,0.1164,1.82387,2.31784,1.84681,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5486.91,1.39875,1.65065,1.47639,0.37269,0.29826,0.24248,0.11426,1.84557,2.31551,1.85852,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5603.72,1.39846,1.63909,1.47521,0.35099,0.30447,0.24017,0.11239,1.84401,2.33269,1.86456,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5720.45,1.3805,1.60804,1.46435,0.38587,0.28696,0.24438,0.11488,1.8469,2.32549,1.86632,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5837.25,1.3751,1.59512,1.46212,0.38964,0.28266,0.24302,0.11334,1.85881,2.33897,1.87865,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5953.89,1.36577,1.57137,1.45115,0.38525,0.29335,0.24682,0.11395,1.85345,2.33911,1.87327,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6070.84,1.35397,1.55028,1.44516,0.38993,0.28792,0.25004,0.11624,1.86546,2.34171,1.8817,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6186.64,1.34297,1.52114,1.43721,0.37553,0.29484,0.25005,0.11748,1.86606,2.34101,1.88212,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6302.09,1.33674,1.50145,1.42543,0.39253,0.29931,0.25784,0.11906,1.87037,2.33566,1.88741,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6418.62,1.32523,1.47462,1.42009,0.38113,0.29869,0.24936,0.11662,1.87427,2.33034,1.89484,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6533.88,1.32277,1.46678,1.4181,0.386,0.29445,0.25079,0.11758,1.87961,2.36424,1.89974,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6649.62,1.30386,1.43894,1.40524,0.38469,0.29872,0.25202,0.11786,1.89239,2.36226,1.91343,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6764.75,1.30037,1.42708,1.40148,0.40705,0.288,0.24675,0.1168,1.90034,2.37408,1.91958,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6880.72,1.28617,1.39721,1.3893,0.40372,0.2949,0.24983,0.11736,1.90222,2.38145,1.92315,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6996.15,1.27488,1.37905,1.38469,0.39603,0.29841,0.25257,0.11759,1.91493,2.39978,1.93912,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7111.39,1.28153,1.37148,1.38153,0.39813,0.29022,0.2497,0.11607,1.91705,2.40797,1.94008,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7227.13,1.25609,1.34185,1.36552,0.39937,0.298,0.25103,0.11788,1.91293,2.39977,1.93698,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7342.39,1.25344,1.33101,1.3646,0.39886,0.29344,0.25148,0.11837,1.92279,2.41619,1.94418,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7457.22,1.23765,1.31568,1.35536,0.39746,0.29012,0.24794,0.11691,1.92525,2.42072,1.95061,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7573.05,1.23354,1.29606,1.3497,0.37414,0.29562,0.24699,0.11668,1.92839,2.43342,1.95385,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7689.34,1.22525,1.27698,1.34063,0.3694,0.3078,0.25121,0.11782,1.93304,2.43129,1.96166,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7804.42,1.221,1.25983,1.33676,0.38293,0.29374,0.24925,0.11716,1.93838,2.44011,1.96475,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7919.89,1.21139,1.2449,1.33072,0.38422,0.30151,0.24835,0.11623,1.94608,2.44908,1.97259,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8035.02,1.19685,1.22563,1.31912,0.39243,0.29413,0.24705,0.11667,1.95113,2.47034,1.97823,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8150.7,1.19301,1.20721,1.31451,0.37871,0.30345,0.2473,0.11632,1.9511,2.4773,1.98165,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8266.07,1.1819,1.19544,1.30924,0.38242,0.29898,0.24839,0.1166,1.94893,2.48578,1.98082,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8381.19,1.17041,1.17096,1.29975,0.38579,0.2996,0.24729,0.11509,1.96074,2.49391,1.9924,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8496.32,1.16307,1.16311,1.29785,0.38919,0.30115,0.24863,0.11685,1.96473,2.50833,1.99471,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8611.82,1.15685,1.14835,1.28602,0.39412,0.29269,0.24731,0.11582,1.96537,2.51932,1.99751,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
